Date,Time,PM2.5,Status
2016-01-16,19:00:00,22.9,V ugm-3 (TEOM FDMS)
2016-01-16,20:00:00,31.5,V ugm-3 (TEOM FDMS)
2016-01-16,21:00:00,29.9,V ugm-3 (TEOM FDMS)
2016-01-16,22:00:00,31.8,V ugm-3 (TEOM FDMS)
2016-01-16,23:00:00,22.0,V ugm-3 (TEOM FDMS)
2016-01-16,24:00:00,15.9,V ugm-3 (TEOM FDMS)
2016-01-17,01:00:00,9.1,V ugm-3 (TEOM FDMS)
2016-01-17,02:00:00,11.1,V ugm-3 (TEOM FDMS)
2016-01-17,03:00:00,5.2,V ugm-3 (TEOM FDMS)
2016-01-17,04:00:00,5.9,V ugm-3 (TEOM FDMS)
2016-01-17,05:00:00,6.6,V ugm-3 (TEOM FDMS)
2016-01-17,06:00:00,5.5,V ugm-3 (TEOM FDMS)
2016-01-17,07:00:00,5.3,V ugm-3 (TEOM FDMS)
2016-01-17,08:00:00,6.7,V ugm-3 (TEOM FDMS)
2016-01-17,09:00:00,5.1,V ugm-3 (TEOM FDMS)
2016-01-17,10:00:00,7.0,V ugm-3 (TEOM FDMS)
2016-01-17,11:00:00,4.4,V ugm-3 (TEOM FDMS)
2016-01-17,12:00:00,10.0,V ugm-3 (TEOM FDMS)
2016-01-17,13:00:00,8.6,V ugm-3 (TEOM FDMS)
2016-01-17,14:00:00,12.1,V ugm-3 (TEOM FDMS)
