horizon,n,MAE,RMSE,sMAPE,R2,Bias,model,station_id,station_name,site_type,seed,epochs,train_start
6,11065,5.076028723892883,7.671251511919775,45.63426572723772,0.11778541712293977,-0.6840121368585105,timemixer,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history
12,11065,5.2651748046770495,7.931388431004548,47.02793952052038,0.055855208378507215,-0.3537937116283558,timemixer,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history
24,11065,5.342402374262299,7.96771579861849,47.64192107912467,0.04482781122007784,-0.37114588575722995,timemixer,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history
48,11065,5.438152464856619,7.84408162496058,48.609979487285045,0.07441276661925356,0.11697473049540892,timemixer,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history
1,11065,5.180906382285251,7.006466256287049,47.331734596727976,0.2638208694849289,1.195883327016882,hybrid_static,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history
6,11065,5.918968213372138,7.905578589753749,51.78679558842452,0.06306576240839656,1.7337282292157667,hybrid_static,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history
12,11065,6.155589637956197,8.211874976039436,53.154519301802694,-0.012103251619639543,1.88461637636735,hybrid_static,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history
24,11065,6.422281751940275,8.618015698175954,54.69704146496387,-0.11745118645466279,1.8647809559734385,hybrid_static,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history
48,11065,5.853517058762392,8.177426307768119,51.366939150691124,-0.005926907999143083,1.0989302784918231,hybrid_static,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history
1,11065,4.86210413743546,6.8081166037097125,44.8751864390635,0.3049126208837575,0.4426411520631326,hybrid,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history
6,11065,5.325692902629309,7.524993423110634,47.628722783613874,0.15110487814371032,0.5585180958863935,hybrid,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history
12,11065,5.578388056312359,7.873135901042585,49.26370106869595,0.06967292825445226,0.619656149505417,hybrid,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history
24,11065,5.808615861311255,8.222162497144234,50.83480101926537,-0.01715259289647908,0.5893105202894612,hybrid,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history
48,11065,5.55958468311997,8.136351029711406,48.94729204141805,0.004153269736395737,0.22729290600289767,hybrid,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history
1,11065,2.9813827383184237,4.388762539797326,31.752749228943372,0.7111518442621014,-0.0017171259250675377,persistence,MY1,London Marylebone Road,Urban Traffic,2,30,station_available_history
6,11065,4.778400361404161,6.8279009554679835,46.95545939180634,0.3010981116227509,0.007591504892826726,persistence,MY1,London Marylebone Road,Urban Traffic,2,30,station_available_history
12,11065,5.471336044646975,7.989877708909433,51.295417786074296,0.041878850119470123,0.03262539553900838,persistence,MY1,London Marylebone Road,Urban Traffic,2,30,station_available_history
24,11065,5.7602801626221325,8.583260177276376,52.68552813127854,-0.10845624248704255,0.05255309549382085,persistence,MY1,London Marylebone Road,Urban Traffic,2,30,station_available_history
48,11065,6.4935231211144515,9.646922536743785,57.1072552744158,-0.3999442132121813,0.08685042942965457,persistence,MY1,London Marylebone Road,Urban Traffic,2,30,station_available_history
1,11065,5.7437867148137265,8.56810973258756,52.45292753258271,-0.10091926637902393,-0.049344780692351764,seasonal_naive,MY1,London Marylebone Road,Urban Traffic,2,30,station_available_history
6,11065,5.747446904601345,8.574967040425506,52.47661103384737,-0.10231751325583116,-0.03185720726261837,seasonal_naive,MY1,London Marylebone Road,Urban Traffic,2,30,station_available_history
12,11065,5.750248531352363,8.579176499788007,52.53387873594985,-0.10466696859443103,0.003840940048723698,seasonal_naive,MY1,London Marylebone Road,Urban Traffic,2,30,station_available_history
24,11065,5.7602801626221325,8.583260177276376,52.68552813127854,-0.10845624248704255,0.05255309549382085,seasonal_naive,MY1,London Marylebone Road,Urban Traffic,2,30,station_available_history
48,11065,6.4935231211144515,9.646922536743785,57.1072552744158,-0.3999442132121813,0.08685042942965457,seasonal_naive,MY1,London Marylebone Road,Urban Traffic,2,30,station_available_history
1,11065,2.7936930977350114,3.9882928002517795,29.132093849517496,0.7614609412393646,-0.02395621670407512,xgboost,MY1,London Marylebone Road,Urban Traffic,2,30,station_available_history
6,11065,4.168892456768219,5.8832102244615685,39.61019565455223,0.48111570862478825,0.15658524183735717,xgboost,MY1,London Marylebone Road,Urban Traffic,2,30,station_available_history
12,11065,4.796904419707972,6.84002416384195,43.71737078268464,0.2978087157114534,0.5178729245175725,xgboost,MY1,London Marylebone Road,Urban Traffic,2,30,station_available_history
