,,,,,MAE,MAE,RMSE,RMSE,sMAPE,sMAPE,R2,R2
,,,,,mean,std,mean,std,mean,std,mean,std
station_id,station_name,site_type,model,horizon,,,,,,,,
HP1,London Honor Oak Park,Urban Background,hybrid,24,4.523403582582947,0.43517059794599916,6.7704491698168,0.45140379936855607,57.36968544325903,3.834312384558847,-0.10505586521268624,0.14943200192427
HP1,London Honor Oak Park,Urban Background,hybrid,48,4.750823497699384,0.34261610089077543,6.942905276825596,0.3576763056183061,60.83296217433883,2.84331149117009,-0.19301878398954647,0.1201321463279817
HP1,London Honor Oak Park,Urban Background,hybrid_static,1,3.453086779684012,0.48326536339521897,4.657654694941344,0.4971801648968459,47.474926955504884,4.8085943796381905,0.4965167931467106,0.10550274887645703
HP1,London Honor Oak Park,Urban Background,hybrid_static,6,3.9671351507287738,0.4394538996662763,5.550586174028957,0.39887861309936884,51.93866471801365,4.432741023032184,0.2831973801418444,0.10355774370704411
HP1,London Honor Oak Park,Urban Background,hybrid_static,12,4.582368565788014,0.526163903122861,6.437967721935924,0.4703132909797566,57.68011365274471,4.5018789556717245,0.022105371414645282,0.14519050720089796
HP1,London Honor Oak Park,Urban Background,hybrid_static,24,4.86741322639248,0.6418070720228579,6.943134728225113,0.5492569609059864,59.99454213209263,5.533898511868104,-0.16382480424275805,0.18336199411080586
HP1,London Honor Oak Park,Urban Background,hybrid_static,48,5.238724642918095,0.6248808087342188,7.2150603738870815,0.5659101417012158,63.958400024927336,4.720156003023397,-0.29198004247043785,0.19841734700302044
HP1,London Honor Oak Park,Urban Background,lstm,1,1.1497575646274143,0.09711483148495254,1.7654732372358317,0.06710521223752555,19.344585252677813,2.3226162186375423,0.9282315683345768,0.005578216036063769
HP1,London Honor Oak Park,Urban Background,lstm,6,2.584123618938105,0.05942775334022987,4.090526092614045,0.0746221644984728,36.49041919071174,0.7603882529460486,0.6122022408798728,0.014278927303665135
HP1,London Honor Oak Park,Urban Background,lstm,12,3.1176625031107994,0.10538644469472244,5.012937797566061,0.13932840333607324,42.14221032433782,1.1048901367617852,0.40925890890369165,0.03311731721995605
HP1,London Honor Oak Park,Urban Background,lstm,24,3.511011533545762,0.0908546945132761,5.507738290419208,0.12068421373300026,46.454655849822885,1.1840740001042203,0.2710110479453161,0.032025138139351754
HP1,London Honor Oak Park,Urban Background,lstm,48,3.7522139222249846,0.08128162850454096,5.9815791623393695,0.12178449555722257,49.691495445420585,1.1363893348750411,0.11606689754565302,0.03624913040087925
HP1,London Honor Oak Park,Urban Background,persistence,1,0.8623758149012503,0.0,1.4312094183108897,0.0,13.89577022772662,0.0,0.9528896983536932,0.0
HP1,London Honor Oak Park,Urban Background,persistence,6,2.7271297642768335,0.0,4.375777648519587,0.0,39.11235594289639,0.0,0.5563486144395251,0.0
HP1,London Honor Oak Park,Urban Background,persistence,12,3.4736379488503415,0.0,5.599718855454935,0.0,47.36699611858239,0.0,0.2633237197949915,0.0
HP1,London Honor Oak Park,Urban Background,persistence,24,3.9901839715785767,0.0,6.550349371810684,0.0,52.29893740953221,0.0,-0.030710031786237435,0.0
HP1,London Honor Oak Park,Urban Background,persistence,48,4.57187778431019,0.0,7.534500005318405,0.0,57.84754337785067,0.0,-0.40201469727598527,0.0
HP1,London Honor Oak Park,Urban Background,seasonal_naive,1,4.011627709073224,0.0,6.588753438992201,0.0,52.013310067066286,0.0,0.0015736692790533358,0.0
HP1,London Honor Oak Park,Urban Background,seasonal_naive,6,4.003720645533183,0.0,6.576687204069363,0.0,52.064208300084246,0.0,-0.00217998386912277,0.0
HP1,London Honor Oak Park,Urban Background,seasonal_naive,12,3.9978742384817054,0.0,6.56593123761369,0.0,52.129997717829454,0.0,-0.012830803047593431,0.0
HP1,London Honor Oak Park,Urban Background,seasonal_naive,24,3.9901839715785767,0.0,6.550349371810684,0.0,52.29893740953221,0.0,-0.030710031786237435,0.0
HP1,London Honor Oak Park,Urban Background,seasonal_naive,48,4.57187778431019,0.0,7.534500005318405,0.0,57.84754337785067,0.0,-0.40201469727598527,0.0
HP1,London Honor Oak Park,Urban Background,timemixer,1,3.2354399309408004,0.1010271347780575,5.212670953890013,0.23409578255324245,43.05445648918613,0.76231820138724,0.3740634873143617,0.05630310062926705
HP1,London Honor Oak Park,Urban Background,timemixer,6,3.579838706190336,0.068190036986058,5.873164431346822,0.16969351156262344,46.57023067501913,0.7724182931030527,0.2002290672019817,0.04663700520210545
HP1,London Honor Oak Park,Urban Background,timemixer,12,3.7931628727291153,0.12947395686098254,6.365387539705846,0.26108860076095586,48.50066534022913,1.2917639054653578,0.04681309291965312,0.07853139177315589
HP1,London Honor Oak Park,Urban Background,timemixer,24,3.962425402154179,0.1362789100020506,6.549449822013611,0.26677373905789814,50.56547674540958,1.3908049933322604,-0.031794636988124035,0.0851595841197357
HP1,London Honor Oak Park,Urban Background,timemixer,48,4.012642641457689,0.22068842342627165,6.622327467582741,0.23657594633199874,51.51458045823898,1.752961446319385,-0.08419691781724536,0.07820213575658183
HP1,London Honor Oak Park,Urban Background,xgboost,1,0.8191986345133497,0.002661141738014139,1.359755485119282,0.006566351888517966,13.364707862135603,0.017107427063418456,0.9574754961857638,0.00041063132115066184
HP1,London Honor Oak Park,Urban Background,xgboost,6,2.682676692247391,0.0078202611894192,4.1565478000587275,0.022099841628133117,37.64015648151575,0.06981666970270065,0.5996805133475049,0.004246646437105673
HP1,London Honor Oak Park,Urban Background,xgboost,12,3.410507464437759,0.010362714473586759,5.154887760115609,0.0246758659375643,45.369892453568845,0.07950040084009331,0.37570388984699044,0.005981683713826165
HP1,London Honor Oak Park,Urban Background,xgboost,24,3.8688671534041843,0.015363354673364228,5.900502734139501,0.023834015828309997,49.74364343176844,0.13973045293657863,0.163643810930046,0.0067655578603494256
HP1,London Honor Oak Park,Urban Background,xgboost,48,4.46250599352633,0.02580881436717928,6.6724524896030655,0.015997249685657827,55.498984841182406,0.3246178846653282,-0.09955426800108577,0.005274339013650021
KC1,London North Kensington,Urban Background,dlinear,1,0.9619127417213275,0.016301399393491227,1.6396515761666293,0.008183773687883903,14.17853952374249,0.2762758983645145,0.9541045099186297,0.0004567359570996818
KC1,London North Kensington,Urban Background,dlinear,6,2.913534671905974,0.046408948021514296,4.592210235307677,0.025371513647934104,36.75058647601503,0.7379729529460753,0.6397774583819915,0.003986390303448444
KC1,London North Kensington,Urban Background,dlinear,12,3.568015052863953,0.04250965514558413,5.67626935431374,0.01633436797022022,42.99547459111501,0.6499837257193432,0.44853521728975876,0.003172203892306962
KC1,London North Kensington,Urban Background,dlinear,24,4.095533207573313,0.018900719009624714,6.476873066518927,0.016349155668579092,48.05782936581097,0.270453400284087,0.2811825364705232,0.0036294874569675712
KC1,London North Kensington,Urban Background,dlinear,48,4.494103654658102,0.035267610537834185,7.07763966333115,0.03152793866265778,52.7899146814863,0.5463403276015676,0.1427921672728602,0.007635432353793428
KC1,London North Kensington,Urban Background,hybrid,1,3.3552182098855363,0.2286140127519966,4.837304455502304,0.25865161770656625,42.75439494230413,2.4125263165410415,0.5996339298960752,0.04323785900915539
KC1,London North Kensington,Urban Background,hybrid,6,4.037616002084214,0.06617568959740357,6.058298826814035,0.08763854842484542,48.543503910060466,0.8539120365294013,0.3729663649959092,0.018150725101281243
KC1,London North Kensington,Urban Background,hybrid,12,4.578553414840387,0.20365453780045292,6.807789063681886,0.212466159224797,53.96086709631618,1.9554149314113018,0.20614831075655699,0.04936563246834912
KC1,London North Kensington,Urban Background,hybrid,24,4.849378863942543,0.2504423819811841,7.351854022591456,0.3426065875463632,55.634738637790484,2.146076229970533,0.07224511031102629,0.08830213391615357
KC1,London North Kensington,Urban Background,hybrid,48,5.014154049644327,0.19655674662877862,7.541197011806604,0.11994504609679299,57.45450729687703,1.8984100072254049,0.026646042810546923,0.03100845038227062
KC1,London North Kensington,Urban Background,hybrid_static,1,3.599358893002485,0.32880229521216825,5.091268890358007,0.37146748003562285,44.74069837325848,2.569049223658688,0.5556185752055632,0.06632814698589345
KC1,London North Kensington,Urban Background,hybrid_static,6,4.2511513721498115,0.19033074355314253,6.1984849731420635,0.07612567063659383,50.40719371570198,2.3455635634350576,0.3436427860789171,0.016042784080376956
KC1,London North Kensington,Urban Background,hybrid_static,12,4.892759126858649,0.3474382736569648,6.9872480961664625,0.29954459841704745,56.75903025133307,2.593427127002302,0.1631660154465566,0.0715397180323075
KC1,London North Kensington,Urban Background,hybrid_static,24,5.1357068523231195,0.3752753584293017,7.522640225677352,0.4132222205604087,58.15505966948014,3.63420539361321,0.027984272138443234,0.10811643599263113
KC1,London North Kensington,Urban Background,hybrid_static,48,5.247824432813198,0.3223942017232526,7.64503810293354,0.1560456862243014,59.34570414776333,2.9101849952669814,-0.00047530849850336844,0.04099747487797096
KC1,London North Kensington,Urban Background,lstm,1,1.190613455622426,0.04669238230214295,1.9017905344375918,0.03479595477749354,17.983348149828082,1.5188983286771807,0.9382410548650155,0.002280764523825378
KC1,London North Kensington,Urban Background,lstm,6,2.8198593192481445,0.028573188807777827,4.522980742175472,0.08304588185422888,35.62609187991909,0.7830844543260544,0.6504708940909839,0.012831562611451961
KC1,London North Kensington,Urban Background,lstm,12,3.477699598933981,0.03440186731653246,5.5898196813558485,0.15407640325268468,41.89974926464778,0.7237081892067959,0.46488343017792105,0.029174672123923908
KC1,London North Kensington,Urban Background,lstm,24,4.006462331974058,0.033492363900377416,6.472739123105602,0.10952993150177602,46.77554456150175,0.5340818966569337,0.2819390383292458,0.02427087339871811
KC1,London North Kensington,Urban Background,lstm,48,4.320734428280726,0.047859445722282436,7.037607696129426,0.08312373215121553,50.169388782965214,0.7065332195584813,0.15238054635330345,0.020084588752323516
KC1,London North Kensington,Urban Background,persistence,1,0.9733901015105054,0.0,1.7130257352942793,0.0,13.80244276775026,0.0,0.949905967870437,0.0
KC1,London North Kensington,Urban Background,persistence,6,3.086901224908956,0.0,5.039084493073921,0.0,39.09600049201972,0.0,0.5662694255143306,0.0
KC1,London North Kensington,Urban Background,persistence,12,3.9169695889372904,0.0,6.426817028972725,0.0,47.120965983852074,0.0,0.29306288043975737,0.0
KC1,London North Kensington,Urban Background,persistence,24,4.5122797323845605,0.0,7.485339864678923,0.0,51.91865735334265,0.0,0.03991721643545587,0.0
KC1,London North Kensington,Urban Background,persistence,48,5.230411067474785,0.0,8.594872936443728,0.0,58.13852925727347,0.0,-0.2640995060219713,0.0
KC1,London North Kensington,Urban Background,seasonal_naive,1,4.516521381123275,0.0,7.4903492120759605,0.0,51.925143052083136,0.0,0.0422275374575255,0.0
KC1,London North Kensington,Urban Background,seasonal_naive,6,4.522643999211917,0.0,7.4998631826231605,0.0,51.96997930129781,0.0,0.03922114140695376,0.0
