gap_id,start,end,hours,gap_class,inserted_rows
75,2017-02-23 06:00:00+00:00,2017-02-23 06:00:00+00:00,1,short_1_3h,0
79,2017-03-17 22:00:00+00:00,2017-03-17 22:00:00+00:00,1,short_1_3h,0
83,2017-03-23 01:00:00+00:00,2017-03-23 01:00:00+00:00,1,short_1_3h,0
85,2017-03-23 06:00:00+00:00,2017-03-23 06:00:00+00:00,1,short_1_3h,0
89,2017-06-22 07:00:00+00:00,2017-06-22 07:00:00+00:00,1,short_1_3h,0
91,2017-06-26 12:00:00+00:00,2017-06-26 12:00:00+00:00,1,short_1_3h,0
99,2017-09-27 11:00:00+00:00,2017-09-27 11:00:00+00:00,1,short_1_3h,0
103,2017-10-16 10:00:00+00:00,2017-10-16 10:00:00+00:00,1,short_1_3h,0
105,2017-10-29 05:00:00+00:00,2017-10-29 05:00:00+00:00,1,short_1_3h,0
113,2017-12-07 16:00:00+00:00,2017-12-07 16:00:00+00:00,1,short_1_3h,0
117,2017-12-26 01:00:00+00:00,2017-12-26 01:00:00+00:00,1,short_1_3h,0
119,2017-12-27 10:00:00+00:00,2017-12-27 10:00:00+00:00,1,short_1_3h,0
121,2017-12-27 12:00:00+00:00,2017-12-27 12:00:00+00:00,1,short_1_3h,0
123,2017-12-30 06:00:00+00:00,2017-12-30 06:00:00+00:00,1,short_1_3h,0
125,2017-12-31 10:00:00+00:00,2017-12-31 10:00:00+00:00,1,short_1_3h,0
127,2018-01-15 15:00:00+00:00,2018-01-15 15:00:00+00:00,1,short_1_3h,0
131,2018-01-31 04:00:00+00:00,2018-01-31 04:00:00+00:00,1,short_1_3h,0
133,2018-02-13 06:00:00+00:00,2018-02-13 06:00:00+00:00,1,short_1_3h,0
135,2018-02-20 10:00:00+00:00,2018-02-20 10:00:00+00:00,1,short_1_3h,0
139,2018-02-23 23:00:00+00:00,2018-02-23 23:00:00+00:00,1,short_1_3h,0
141,2018-03-04 09:00:00+00:00,2018-03-04 09:00:00+00:00,1,short_1_3h,0
147,2018-03-18 21:00:00+00:00,2018-03-18 21:00:00+00:00,1,short_1_3h,0
149,2018-03-19 23:00:00+00:00,2018-03-19 23:00:00+00:00,1,short_1_3h,0
159,2018-04-22 15:00:00+00:00,2018-04-22 15:00:00+00:00,1,short_1_3h,0
163,2018-05-09 09:00:00+00:00,2018-05-09 09:00:00+00:00,1,short_1_3h,0
165,2018-05-09 11:00:00+00:00,2018-05-09 11:00:00+00:00,1,short_1_3h,0
169,2018-05-30 13:00:00+00:00,2018-05-30 13:00:00+00:00,1,short_1_3h,0
